"year","month","fleet","sex","partition","Nsamp","InputN","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
2009,7,"WA",3,0,235,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,6,19,31,22,28,25,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,16,17,8,0,3,4,0,0,0,0,0
2010,7,"WA",3,0,257,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,13,7,15,15,22,15,15,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,22,28,32,18,11,4,2,0,0,0,1,0
2011,7,"WA",3,0,201,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,9,11,18,14,19,18,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,19,22,17,18,8,2,1,0,0,0,0,0
2012,7,"WA",3,0,76,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,3,8,4,6,5,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,5,3,1,0,1,0,0,0,0,1
2013,7,"WA",3,0,121,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,6,6,15,5,17,10,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,13,6,1,0,0,1,0,0,1,0,0
2014,7,"WA",3,0,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,8,5,4,7,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,8,6,3,2,0,0,0,0,0,0,0
2015,7,"WA",3,0,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,1,2,0,0,0,0,0,0,0,0
2016,7,"WA",3,0,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,6,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10,7,9,0,1,0,0,0,0,0,0,0
2017,7,"WA",3,0,644,229,0,0,0,0,0,0,0,0,0,0,1,1,3,8,13,32,47,57,39,33,20,15,24,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,29,50,93,66,35,20,9,5,2,4,0,0,1,0
2018,7,"WA",3,0,319,131,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,12,28,24,24,14,12,15,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,20,26,34,34,20,11,5,0,0,0,0,0,0,0
2019,7,"WA",3,0,339,132,0,0,0,0,0,0,0,0,0,0,0,2,3,6,10,14,27,26,34,12,11,4,4,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,8,21,44,32,31,11,16,4,0,2,0,0,0,0,0
2020,7,"WA",3,0,73,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,6,7,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,14,5,2,1,1,0,0,0,0,0,0,0
2021,7,"WA",3,0,87,28,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,7,4,5,4,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,6,7,6,11,6,2,1,0,0,0,0,0,0
2022,7,"WA",3,0,74,14,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,3,2,5,2,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,12,5,7,2,1,0,0,0,0,0,0,0,0
